gene_id	gene_short_name	n_events_total	n_shared	n_nsn_only	n_all_only	best_p_all	best_p_nsn	max_abs_delta_all	max_abs_delta_nsn
ENSMUSG00000023994	Nfya	3	1	2	0	0.0025714332850243797	0.009641508718997688	8.90367836708863	8.723807990585053
ENSMUSG00000025059	Gk	1	1	0	0	0.010741819401867846	0.005046769776774431	6.788549596010979	8.895432849385031
ENSMUSG00000030204	Ddx47	1	1	0	0	0.028650397473613066	0.010257366144541742	6.464583275658936	8.555772099422686
ENSMUSG00000021843	Ktn1	1	1	0	0	0.009785349440664516	0.01180992598461458	5.446687690657404	6.48125110870974
ENSMUSG00000001089	Luzp1	1	1	0	0	0.04553127739997085	0.015013607984408662	7.383612401708933	10.849129270568469
ENSMUSG00000059436	Max	1	1	0	0	0.009167381903456645	0.0176712215907329	6.451948363736465	6.509772202614984
ENSMUSG00000031229	Atrx	1	1	0	0	0.02822238253083061	0.028110732541561035	6.43667690414712	7.381807808125007
ENSMUSG00000017421	Zfp207	1	0	1	0	NA	0.005810181808593756	NA	5.827721697709337
ENSMUSG00000047746	Fbxo40	1	0	1	0	NA	0.015033231377645758	NA	8.639273669030988
ENSMUSG00000026034	Clk1	1	0	1	0	NA	0.031506726568087555	NA	5.144467572969358
ENSMUSG00000019320	Noxo1	1	0	1	0	NA	0.032149069610462905	NA	7.762230511921498
ENSMUSG00000058440	Nrf1	1	0	1	0	NA	0.03743904655883623	NA	5.51345198674231
ENSMUSG00000011257	Pabpc4	1	0	1	0	NA	0.03976482553125464	NA	8.02511798408525
ENSMUSG00000001036	Epn2	1	0	0	1	0.0013403589789030368	NA	5.492061043602709	NA
ENSMUSG00000028530	Jak1	1	0	0	1	0.03708685982511374	NA	5.056074632459814	NA
ENSMUSG00000027593	Raly	1	0	0	1	0.043297453267152196	NA	5.376518597830049	NA
ENSMUSG00000051705	Senp8	1	0	0	1	0.04784397287352081	NA	6.204964197799917	NA
